Geneid	Length
ENSMUSG00000121270	2075
ENSMUSG00000119658	104
ENSMUSG000000259170	3766
ENSMUSG000000567637	17553
ENSMUSG00000137212	1835
ENSMUSG00000102356	920
ENSMUSG000000678512	11318
ENSMUSG00002076532	240
ENSMUSG00000102556	1722
ENSMUSG00000127523	583
ENSMUSG00000123573	470
ENSMUSG000000425013	6840
ENSMUSG00000103810	2745
ENSMUSG00000130625	2025
ENSMUSG00000083422	1456
ENSMUSG00000119312	107
ENSMUSG00000137678	683
ENSMUSG00000081417	492
ENSMUSG00000103448	1922
ENSMUSG00000100212	1242
ENSMUSG00000125508	253
ENSMUSG00000100648	759
ENSMUSG00000130062	839
ENSMUSG00002076499	91
ENSMUSG000000489604	16609
ENSMUSG00000127757	360
ENSMUSG00000127802	469
ENSMUSG00000077318	128
ENSMUSG00000101827	609
ENSMUSG00000122491	1208
ENSMUSG00000103494	3039
ENSMUSG00000143092	664
ENSMUSG000000577154	9183
ENSMUSG00000103825	2471
ENSMUSG00000099845	262
ENSMUSG00000139014	456
ENSMUSG00000138973	930
ENSMUSG00000103561	2144
ENSMUSG00000134440	1381
ENSMUSG00000101610	873
ENSMUSG00000141382	919
ENSMUSG00000118923	107
ENSMUSG00000098555	121
ENSMUSG00000143719	739
ENSMUSG00000097628	807
ENSMUSG00000098163	687
ENSMUSG00000097171	4414
ENSMUSG00000101314	1353
ENSMUSG000000169186	11294
ENSMUSG00000127288	1195
ENSMUSG000000259387	13137
ENSMUSG00000104518	551
ENSMUSG00000141815	3301
ENSMUSG00000069620	321
ENSMUSG00000099498	2256
ENSMUSG00000042414	2564
ENSMUSG000000058865	15642
ENSMUSG00000103506	2253
ENSMUSG00000103495	1626
ENSMUSG00002076346	82
ENSMUSG00000102639	695
ENSMUSG00000104170	1872
ENSMUSG00000134412	685
ENSMUSG00000087782	112
ENSMUSG00000103085	4642
ENSMUSG00000102664	2248
ENSMUSG00000134452	1885
ENSMUSG00000101476	1183
ENSMUSG00000134491	490
ENSMUSG00000122424	1070
ENSMUSG00000101171	644
ENSMUSG00000126000	758
ENSMUSG000000259351	3162
ENSMUSG00000120948	894
ENSMUSG00000131318	387
ENSMUSG00000025937	4566
ENSMUSG00000102982	1266
ENSMUSG00000067813	1926
ENSMUSG00000077368	131
ENSMUSG00000097711	997
ENSMUSG00000134219	4414
ENSMUSG00000102166	2249
ENSMUSG00002075174	308
ENSMUSG00000104209	3605
ENSMUSG000000259325	7808
ENSMUSG00002075819	100
ENSMUSG00000102588	439
ENSMUSG00000127312	2106
ENSMUSG00000127278	3179
ENSMUSG00000140763	617
ENSMUSG00000140464	943
ENSMUSG00000134469	563
ENSMUSG00000054493	4872
ENSMUSG00000025930	2546
ENSMUSG00000103492	4321
ENSMUSG00000081201	288
ENSMUSG00000082193	894
ENSMUSG00000032769	4263
ENSMUSG00000088159	120
ENSMUSG00000125466	1605
ENSMUSG00000073737	996
ENSMUSG00000092083	15165
ENSMUSG00000128216	330
ENSMUSG00000102937	1533
ENSMUSG00000104149	2089
ENSMUSG00000137925	1570
ENSMUSG00000088829	112
ENSMUSG00000132707	757
ENSMUSG00000077377	132
ENSMUSG00000101652	251
ENSMUSG00000100814	100
ENSMUSG00000132745	1990
ENSMUSG00000132786	544
ENSMUSG000000259255	4608
ENSMUSG00000104379	3169
ENSMUSG00000032719	2748
ENSMUSG00002076565	303
ENSMUSG00000137819	590
ENSMUSG00000100652	553
ENSMUSG000000677954	2063
ENSMUSG00000136711	1394
ENSMUSG000000437164	2687
ENSMUSG00000025921	4160
ENSMUSG00000132226	643
ENSMUSG00000104165	2321
ENSMUSG00000100868	1515
ENSMUSG000000259200	6747
ENSMUSG00000089982	1456
ENSMUSG000000259390	4930
ENSMUSG00000102457	2980
ENSMUSG000000796580	3026
ENSMUSG00000097744	3425
ENSMUSG00000100959	683
ENSMUSG00000025940	1820
ENSMUSG00000125087	962
ENSMUSG000000257791	1021
ENSMUSG00000100093	419
ENSMUSG00000091020	1860
ENSMUSG00000142287	1504
ENSMUSG00000101640	176
ENSMUSG00000104133	827
ENSMUSG00000042686	4998
ENSMUSG00000127806	1817
ENSMUSG00000127769	809
ENSMUSG00000100110	1423
ENSMUSG00000025777	7731
ENSMUSG00000099899	1021
ENSMUSG00000138285	735
ENSMUSG00000100272	379
ENSMUSG00000137468	1182
ENSMUSG00000137506	1053
ENSMUSG00000100398	472
ENSMUSG00000101589	2870
ENSMUSG00000102048	486
ENSMUSG00000089534	111
ENSMUSG00000067780	6923
ENSMUSG00000100053	4441
ENSMUSG00000085125	8345
ENSMUSG000000257764	4515
ENSMUSG00000099895	629
ENSMUSG00000109887	4373
ENSMUSG00000100554	1399
ENSMUSG00000099473	586
ENSMUSG00000099591	2557
ENSMUSG00000102001	199
ENSMUSG00000101717	142
ENSMUSG000000257745	2737
ENSMUSG00000142595	1546
ENSMUSG00000070977	219
ENSMUSG00000131994	364
ENSMUSG00000073735	258
ENSMUSG00000067773	610
ENSMUSG00000101685	985
ENSMUSG00000132263	1079
ENSMUSG00000132383	816
ENSMUSG00000101306	909
ENSMUSG00000134916	431
ENSMUSG00000088800	72
ENSMUSG00000101644	112
ENSMUSG00000099433	279
ENSMUSG00000089787	1073
ENSMUSG00000042596	1954
ENSMUSG00000100720	545
ENSMUSG000000259274	6338
ENSMUSG00000142982	568
ENSMUSG00000100538	2274
ENSMUSG00000101117	472
ENSMUSG00000100204	2246
ENSMUSG00002076883	65
ENSMUSG00000141106	883
ENSMUSG00000102597	2499
ENSMUSG00000142065	145
ENSMUSG00000136536	1732
ENSMUSG000000437607	14310
ENSMUSG00000104095	3479
ENSMUSG00000089914	1736
ENSMUSG00000090142	553
ENSMUSG00000070175	102
ENSMUSG00000099906	5551
ENSMUSG00000065559	73
ENSMUSG00000065480	119
ENSMUSG00000133531	865
ENSMUSG00000025929	1171
ENSMUSG000000418720	2022
ENSMUSG000000418591	3752
ENSMUSG00000099714	1186
ENSMUSG00000102121	833
ENSMUSG00000088858	132
ENSMUSG00000097934	2238
ENSMUSG000000259316	5488
ENSMUSG00000077314	131
ENSMUSG00000133875	556
ENSMUSG00000100929	858
ENSMUSG00000041809	2208
ENSMUSG00000041779	6661
ENSMUSG00000137435	511
ENSMUSG00000099971	546
ENSMUSG00000129840	1869
ENSMUSG00000100819	571
ENSMUSG00000129885	2473
ENSMUSG00000099343	2087
ENSMUSG000000259336	1351
ENSMUSG00000102633	2100
ENSMUSG000000259346	4344
ENSMUSG00000138037	784
ENSMUSG00000096375	366
ENSMUSG00000121505	7090
ENSMUSG000000259368	672
ENSMUSG00000141880	510
ENSMUSG00000093963	439
ENSMUSG00000141838	1081
ENSMUSG00000067750	1987
ENSMUSG00000086194	371
ENSMUSG00000141922	1544
ENSMUSG00000094436	228
ENSMUSG00000041722	1946
ENSMUSG00000085507	350
ENSMUSG00000094926	228
ENSMUSG00000085079	2236
ENSMUSG00000129191	527
ENSMUSG00000085679	196
ENSMUSG000000280337	7689
ENSMUSG00000104138	2327
ENSMUSG00000128794	674
ENSMUSG00000082935	1124
ENSMUSG00000103748	1567
ENSMUSG00000124418	1403
ENSMUSG00000123368	876
ENSMUSG00000099692	552
ENSMUSG00000140384	1009
ENSMUSG00000124412	367
ENSMUSG00000100418	447
ENSMUSG00000128972	533
ENSMUSG00000135509	953
ENSMUSG000000416700	8103
ENSMUSG00000097642	802
ENSMUSG00000131366	359
ENSMUSG00000141541	764
ENSMUSG00000128277	305
ENSMUSG00000101468	921
ENSMUSG00000101227	3792
ENSMUSG00000073730	1781
ENSMUSG00000141721	1184
ENSMUSG00000141755	679
ENSMUSG00000089553	121
ENSMUSG00000102766	723
ENSMUSG00000134304	5711
ENSMUSG00000065405	71
ENSMUSG00000097970	399
ENSMUSG00000065567	84
ENSMUSG00000100775	347
ENSMUSG00000133147	1872
ENSMUSG00000101226	644
ENSMUSG000000261582	8109
ENSMUSG00000138593	634
ENSMUSG00000097920	989
ENSMUSG00000099503	3245
ENSMUSG00000142633	330
ENSMUSG00000026156	6203
ENSMUSG000000261554	3575
ENSMUSG00000141937	977
ENSMUSG00000141893	1601
ENSMUSG00000026154	874
ENSMUSG00000102495	390
ENSMUSG000000261536	7773
ENSMUSG00000143955	1105
ENSMUSG00000102398	2800
ENSMUSG00000122847	2276
ENSMUSG00000097670	867
ENSMUSG000000261477	5068
ENSMUSG000000261414	6887
ENSMUSG00000125396	1150
ENSMUSG00000125434	406
ENSMUSG00000077463	137
ENSMUSG00000099997	1337
ENSMUSG00000100131	876
ENSMUSG00000067736	294
ENSMUSG00000138098	416
ENSMUSG00000101939	345
ENSMUSG00000101111	783
ENSMUSG00000100862	678
ENSMUSG00000102070	681
ENSMUSG00000101249	492
ENSMUSG00000127021	1101
ENSMUSG00000073725	5960
ENSMUSG00000133176	1079
ENSMUSG00000129414	459
ENSMUSG00000143216	703
ENSMUSG00000100808	661
ENSMUSG00000130976	471
ENSMUSG00000100483	1216
ENSMUSG00000135830	707
ENSMUSG00000100450	816
ENSMUSG00000099392	791
ENSMUSG00000122244	2459
ENSMUSG000000335698	18559
ENSMUSG00000080849	444
ENSMUSG00000122289	420
ENSMUSG00000104257	1551
ENSMUSG00000119153	107
ENSMUSG00000102296	1031
ENSMUSG00000103209	3375
ENSMUSG00000104027	3433
ENSMUSG00000102407	2533
ENSMUSG00000103214	3105
ENSMUSG00000104100	3257
ENSMUSG00000084740	104
ENSMUSG00000103889	2935
ENSMUSG00000101301	570
ENSMUSG00000104221	2943
ENSMUSG00000102250	3995
ENSMUSG00000102317	5440
ENSMUSG00000133748	553
ENSMUSG00000103563	2741
ENSMUSG00000102465	3581
ENSMUSG00000102659	3691
ENSMUSG00000103924	4550
ENSMUSG00000104132	3625
ENSMUSG00000102747	3310
ENSMUSG00000102386	1017
ENSMUSG00000103004	330
ENSMUSG00000135201	1022
ENSMUSG00000104516	1222
ENSMUSG00000130306	932
ENSMUSG00000101618	556
ENSMUSG00000099458	651
ENSMUSG00000088111	106
ENSMUSG00000140232	2214
ENSMUSG00000073722	4318
ENSMUSG00000119695	119
ENSMUSG00000133566	1398
ENSMUSG00000100310	417
ENSMUSG00000129952	2106
ENSMUSG00000101514	2570
ENSMUSG00000101033	654
ENSMUSG00000101372	1873
ENSMUSG00000129466	433
ENSMUSG00000141222	324
ENSMUSG00000139702	349
ENSMUSG00000103241	1514
ENSMUSG00000086240	274
ENSMUSG00000138065	2477
ENSMUSG00000048411	2887
ENSMUSG00000081557	2482
ENSMUSG00000058590	304
ENSMUSG00000124238	369
ENSMUSG00000101235	550
ENSMUSG00002075209	112
ENSMUSG00002076857	100
ENSMUSG00002074912	96
ENSMUSG00000128221	542
ENSMUSG00000099257	125
ENSMUSG00000099492	1312
ENSMUSG00000123191	431
ENSMUSG00000118548	1285
ENSMUSG00000101726	622
ENSMUSG00002075317	110
ENSMUSG00000127937	6450
ENSMUSG00002075289	107
ENSMUSG00000124992	459
ENSMUSG00000125037	2722
ENSMUSG00000053185	3187
ENSMUSG00000142156	859
ENSMUSG00000100261	1210
ENSMUSG00000101180	328
ENSMUSG000000488746	14190
ENSMUSG00000103783	2884
ENSMUSG00000104315	3035
ENSMUSG00000128750	789
ENSMUSG000000260647	5541
ENSMUSG00000117310	4145
ENSMUSG00000139019	1383
ENSMUSG00000117091	726
ENSMUSG00000086726	729
ENSMUSG000000867270	4812
ENSMUSG00000100910	7538
ENSMUSG00000125934	2385
ENSMUSG00002076113	138
ENSMUSG00000099796	225
ENSMUSG000000502174	1937
ENSMUSG00000026063	1451
ENSMUSG00000077664	127
ENSMUSG00000100205	559
ENSMUSG00000100592	564
ENSMUSG00000094215	762
ENSMUSG00000124860	846
ENSMUSG00000101093	1337
ENSMUSG00000070960	1513
ENSMUSG00000088620	107
ENSMUSG00000082159	835
ENSMUSG00000124101	761
ENSMUSG00000142221	955
ENSMUSG000000260582	10291
ENSMUSG00000064688	107
ENSMUSG00000103482	1809
ENSMUSG00000104498	1628
ENSMUSG00000104313	1545
ENSMUSG00000102865	1437
ENSMUSG00000102321	3413
ENSMUSG00000091318	3609
ENSMUSG00000089489	63
ENSMUSG00000104433	2470
ENSMUSG00002076392	292
ENSMUSG00000102926	5007
ENSMUSG00000100497	2131
ENSMUSG00000102917	1221
ENSMUSG00000100481	1789
ENSMUSG00000100590	751
ENSMUSG00000131675	1384
ENSMUSG00000088750	110
ENSMUSG00000104230	1135
ENSMUSG00000101754	1693
ENSMUSG00000137049	216
ENSMUSG00000065223	100
ENSMUSG00000100318	913
ENSMUSG00000132768	1129
ENSMUSG00000101612	2255
ENSMUSG00000065260	106
ENSMUSG000000261342	5938
ENSMUSG00000101682	418
ENSMUSG00000138807	398
ENSMUSG00000102714	3075
ENSMUSG00000102093	328
ENSMUSG00000138851	1731
ENSMUSG00000103746	1264
ENSMUSG00000102198	2314
ENSMUSG00000121274	3078
ENSMUSG000000047685	8285
ENSMUSG00000042215	3059
ENSMUSG00000103072	341
ENSMUSG000000421974	15839
ENSMUSG00000123811	329
ENSMUSG00000081402	2557
ENSMUSG00000123789	1897
ENSMUSG000000421827	3421
ENSMUSG00000104416	1628
ENSMUSG000000261312	41601
ENSMUSG00000103596	2384
ENSMUSG00000099382	334
ENSMUSG00000084506	93
ENSMUSG00000127497	355
ENSMUSG00000103364	1698
ENSMUSG00000105982	73
ENSMUSG00000096992	7450
ENSMUSG00000103001	1247
ENSMUSG00000143827	394
ENSMUSG00000126561	428
ENSMUSG00000143057	378
ENSMUSG00000104397	430
ENSMUSG00000102839	387
ENSMUSG00000141576	772
ENSMUSG00000101206	1162
ENSMUSG00000142399	674
ENSMUSG00000102336	7927
ENSMUSG00000101462	829
ENSMUSG00000121838	2224
ENSMUSG00000092852	79
ENSMUSG000000421110	2543
ENSMUSG00000101711	529
ENSMUSG000000261274	8553
ENSMUSG00000100280	4853
ENSMUSG000000261266	6492
ENSMUSG00000101223	3585
ENSMUSG00000140102	2533
ENSMUSG000000261250	1333
ENSMUSG00000132507	508
ENSMUSG00000128226	300
ENSMUSG00000101116	292
ENSMUSG00000026124	1040
ENSMUSG00000101803	475
ENSMUSG000000375294	2105
ENSMUSG00000045815	512
ENSMUSG000000451741	4392
ENSMUSG00000138441	4544
ENSMUSG00000100524	423
ENSMUSG00000102499	235
ENSMUSG00000103521	1396
ENSMUSG00000104098	646
ENSMUSG00000138482	1152
ENSMUSG000000375092	9861
ENSMUSG00000125398	1363
ENSMUSG00000102537	148
ENSMUSG00000102612	355
ENSMUSG00000118272	171
ENSMUSG00000104002	2549
ENSMUSG000000375033	5219
ENSMUSG00000104358	3036
ENSMUSG000000261232	7987
ENSMUSG00000103716	2137
ENSMUSG00000103548	229
ENSMUSG00000103760	436
ENSMUSG00000103997	235
ENSMUSG00000132530	647
ENSMUSG00000131914	471
ENSMUSG00000077231	129
ENSMUSG00000141296	607
ENSMUSG00000135071	543
ENSMUSG00000135032	744
ENSMUSG00000141845	535
ENSMUSG00000104417	7334
ENSMUSG00000064601	105
ENSMUSG00000101714	452
ENSMUSG00000102531	1331
ENSMUSG00000138845	1862
ENSMUSG00000138886	921
ENSMUSG00000103096	904
ENSMUSG00000102279	463
ENSMUSG00000143922	830
ENSMUSG00000103708	3768
ENSMUSG00000104201	507
ENSMUSG00000140889	2192
ENSMUSG00000140969	759
ENSMUSG00000102434	1372
ENSMUSG00000140927	1262
ENSMUSG00000045216	5542
ENSMUSG00000122855	1231
ENSMUSG00000104523	447
ENSMUSG00000102202	6188
ENSMUSG000000374705	12853
ENSMUSG00000098752	62
ENSMUSG00000136261	209
ENSMUSG00000134347	578
ENSMUSG00000047180	3217
ENSMUSG00000125625	480
ENSMUSG00000132917	639
ENSMUSG000000374477	12540
ENSMUSG00000131496	917
ENSMUSG00000102762	784
ENSMUSG000000104533	6742
ENSMUSG00000098680	77
ENSMUSG000000374326	6356
ENSMUSG000000011434	7359
ENSMUSG00000137055	778
ENSMUSG00000137017	2023
ENSMUSG00000137090	930
ENSMUSG000000374081	4829
ENSMUSG00000104316	2159
ENSMUSG00002075980	141
ENSMUSG000000011384	6420
ENSMUSG00000102845	269
ENSMUSG000000676533	2697
ENSMUSG00000109510	2327
ENSMUSG000000796100	4654
ENSMUSG00000126033	942
ENSMUSG000000261214	4593
ENSMUSG00000087589	3394
ENSMUSG000000463379	3364
ENSMUSG00000089906	345
ENSMUSG00002075377	75
ENSMUSG000000615182	1587
ENSMUSG000000373510	4274
ENSMUSG00000102416	1744
ENSMUSG00000104237	3237
ENSMUSG000000261171	2992
ENSMUSG00000121718	310
ENSMUSG00000097291	857
ENSMUSG00000141655	1321
ENSMUSG000000261162	9413
ENSMUSG00000127057	597
ENSMUSG00000103016	143
ENSMUSG00000102930	2413
ENSMUSG00000103159	3552
ENSMUSG00000080054	498
ENSMUSG00000136074	480
ENSMUSG00000142066	113
ENSMUSG00000129112	500
ENSMUSG00000119706	119
ENSMUSG000000501221	5769
ENSMUSG00000131940	418
ENSMUSG00000141881	2024
ENSMUSG00000103603	1522
ENSMUSG00000131689	1167
ENSMUSG000000261145	3957
ENSMUSG00000125286	1587
ENSMUSG00000139275	802
ENSMUSG00000102231	346
ENSMUSG000000261138	10387
ENSMUSG00000086064	1293
ENSMUSG00000102879	534
ENSMUSG00000026112	5220
ENSMUSG000000261116	1579
ENSMUSG000000261106	12881
ENSMUSG00000103948	2755
ENSMUSG00000087233	1790
ENSMUSG00000134351	969
ENSMUSG00000129018	362
ENSMUSG00000143477	486
ENSMUSG00000122996	444
ENSMUSG00000143598	391
ENSMUSG000000260907	5075
ENSMUSG00000089767	1371
ENSMUSG00000139392	3034
ENSMUSG00000104365	1926
ENSMUSG00000102650	2218
ENSMUSG000000607716	10662
ENSMUSG00000097268	3089
ENSMUSG00000037216	2051
ENSMUSG000000260886	2770
ENSMUSG000000260872	3226
ENSMUSG00000061584	2564
ENSMUSG00000087374	3990
ENSMUSG000000260852	888
ENSMUSG00002076708	237
ENSMUSG000000584073	9102
ENSMUSG000000260833	9753
ENSMUSG00000135983	572
ENSMUSG000000260822	6168
ENSMUSG00000103804	701
ENSMUSG00000138890	1424
ENSMUSG00000102716	1964
ENSMUSG00000125331	693
ENSMUSG00000126108	353
ENSMUSG000000371389	6654
ENSMUSG00000127429	513
ENSMUSG00000085391	2359
ENSMUSG00000085280	639
ENSMUSG00000133139	296
ENSMUSG00000087131	1853
ENSMUSG00000102984	529
ENSMUSG00000122371	1026
ENSMUSG00000102541	502
ENSMUSG00000103531	503
ENSMUSG000000488142	7506
ENSMUSG000000260805	11964
ENSMUSG00000103647	325
ENSMUSG00000102447	772
ENSMUSG00000067604	1001
ENSMUSG00000132153	696
ENSMUSG000000260781	4219
ENSMUSG00000103046	1639
ENSMUSG00000135574	1939
ENSMUSG00000135611	977
ENSMUSG00000124233	1142
ENSMUSG00000124315	1110
ENSMUSG00000104188	1843
ENSMUSG00000103182	2087
ENSMUSG00000132325	2980
ENSMUSG00000098833	97
ENSMUSG000000260776	4791
ENSMUSG00000126345	852
ENSMUSG00000092553	283
ENSMUSG00000092563	555
ENSMUSG00000131701	2538
ENSMUSG000000737022	1662
ENSMUSG000000031341	5239
ENSMUSG00000102607	885
ENSMUSG00000126978	1171
ENSMUSG00000142229	360
ENSMUSG00000065629	215
ENSMUSG00002076218	216
ENSMUSG000000031356	3508
ENSMUSG00000085894	2249
ENSMUSG00000077704	110
ENSMUSG000000482344	2838
ENSMUSG00000064936	130
ENSMUSG00000141216	767
ENSMUSG00000134845	2272
ENSMUSG00000102471	589
ENSMUSG00000050967	6091
ENSMUSG00000097083	4994
ENSMUSG00000057173	2139
ENSMUSG00000128717	402
ENSMUSG00000141754	1401
ENSMUSG00000091937	2383
ENSMUSG00000101634	6978
ENSMUSG00000142690	2560
ENSMUSG000000260746	9579
ENSMUSG00000102985	1330
ENSMUSG00000097899	4219
ENSMUSG000000260734	1908
ENSMUSG00000102975	3071
ENSMUSG00000131284	732
ENSMUSG00000131320	1300
ENSMUSG00000134998	1456
ENSMUSG00000137865	934
ENSMUSG000000260723	6363
ENSMUSG00000103560	6480
ENSMUSG00000070942	6812
ENSMUSG00000103230	685
ENSMUSG00000123550	687
ENSMUSG00000123634	1158
ENSMUSG00000123590	2913
ENSMUSG000000260696	6894
ENSMUSG000000260707	4817
ENSMUSG000000260682	6752
ENSMUSG00000104441	1486
ENSMUSG00000026065	4562
ENSMUSG00000102676	3947
ENSMUSG00000135694	630
ENSMUSG000000260623	6984
ENSMUSG00000103679	803
ENSMUSG00000103270	4643
ENSMUSG000000419453	5125
ENSMUSG00000079588	2716
ENSMUSG00000122729	716
ENSMUSG00000094136	496
ENSMUSG00000122427	550
ENSMUSG00000123469	1518
ENSMUSG00000131862	896
ENSMUSG00000135609	991
ENSMUSG00000135647	450
ENSMUSG00000104072	1984
ENSMUSG00000135117	829
ENSMUSG00000142452	1818
ENSMUSG00000100185	2613
ENSMUSG00000140844	1532
ENSMUSG00000135779	1051
ENSMUSG00000135818	1555
ENSMUSG00000100832	12030
ENSMUSG00000122634	3248
ENSMUSG00000100178	1045
ENSMUSG00000130614	1556
ENSMUSG00000101877	1099
ENSMUSG00000053640	1383
ENSMUSG00000101919	463
ENSMUSG00000127954	1102
ENSMUSG00000101299	8787
ENSMUSG00000100180	1271
ENSMUSG00000141624	1711
ENSMUSG00000129060	352
ENSMUSG00000129105	1859
ENSMUSG00000103106	533
ENSMUSG00000129676	1415
ENSMUSG00000129600	2457
ENSMUSG000000604247	8953
ENSMUSG00000129639	764
ENSMUSG00000097063	3371
ENSMUSG00000104199	676
ENSMUSG00000093436	3261
ENSMUSG00000121019	1483
ENSMUSG00000045515	7733
ENSMUSG00000129834	690
ENSMUSG00000099784	2170
ENSMUSG00000129717	411
ENSMUSG00000129759	2397
ENSMUSG000000606795	5763
ENSMUSG00000077448	134
ENSMUSG00000140926	4463
ENSMUSG000000419070	7238
ENSMUSG00002075628	85
ENSMUSG000000709390	10972
ENSMUSG00000100269	414
ENSMUSG00000041878	1248
ENSMUSG00000010290	3458
ENSMUSG000000081365	1897
ENSMUSG00000094497	483
ENSMUSG00000141458	669
ENSMUSG00000120601	4925
ENSMUSG00000141493	378
ENSMUSG00000099576	7987
ENSMUSG00000099694	453
ENSMUSG00000126747	1677
ENSMUSG00000101923	380
ENSMUSG000000668772	4455
ENSMUSG00000103422	2491
ENSMUSG00000123761	435
ENSMUSG00000103945	1293
ENSMUSG00000126248	1527
ENSMUSG00000026051	902
ENSMUSG00000100764	458
ENSMUSG00000100635	612
ENSMUSG00000100480	499
ENSMUSG000000573633	5097
ENSMUSG00000090243	1279
ENSMUSG00000127515	587
ENSMUSG00000100701	545
ENSMUSG00000101395	816
ENSMUSG00000088848	125
ENSMUSG00002075225	110
ENSMUSG00000120105	2138
ENSMUSG000000417635	10078
ENSMUSG00000135017	420
ENSMUSG00000047343	4300
ENSMUSG00000090106	180
ENSMUSG00000091844	20036
ENSMUSG000000260492	1926
ENSMUSG00000101104	676
ENSMUSG00000123011	499
ENSMUSG000000260474	3199
ENSMUSG000000416842	4206
ENSMUSG000000260487	5864
ENSMUSG00000046828	3961
ENSMUSG00000089703	957
ENSMUSG00000100966	989
ENSMUSG00000126556	525
ENSMUSG00000100769	1973
ENSMUSG00000101567	309
ENSMUSG000000568700	3758
ENSMUSG00000102319	4563
ENSMUSG00000089877	420
ENSMUSG00000101701	905
ENSMUSG00000103071	1551
ENSMUSG00000140754	827
ENSMUSG00000100434	528
ENSMUSG00000100013	667
ENSMUSG00000101251	745
